[17:20:579] [INFO  ] Game is starting! 
[17:29:917] [FINE  ] 2 - Try placing WHITE at: 5,6 
[17:29:927] [FINE  ] 1 - Try placing BLACK at: 4,7 
[17:29:947] [FINE  ] WHITE's scenario: 30 
[17:29:948] [FINE  ] 1 - score: 30 
[17:29:949] [FINE  ] 1 - Try placing BLACK at: 5,7 
[17:29:964] [FINE  ] WHITE's scenario: 30 
[17:29:965] [FINE  ] 1 - score: 30 
[17:29:966] [FINE  ] 1 - Try placing BLACK at: 5,8 
[17:29:975] [FINE  ] WHITE's scenario: 30 
[17:29:975] [FINE  ] 1 - score: 30 
[17:29:976] [FINE  ] 1 - Try placing BLACK at: 6,5 
[17:29:985] [FINE  ] WHITE's scenario: 30 
[17:29:985] [FINE  ] 1 - score: 30 
[17:29:986] [FINE  ] 1 - Try placing BLACK at: 6,6 
[17:29:994] [FINE  ] WHITE's scenario: 30 
[17:29:994] [FINE  ] 1 - score: 30 
[17:29:995] [FINE  ] 1 - Try placing BLACK at: 6,8 
[17:30:002] [FINE  ] WHITE's scenario: 30 
[17:30:003] [FINE  ] 1 - score: 30 
[17:30:004] [FINE  ] 1 - Try placing BLACK at: 7,6 
[17:30:012] [FINE  ] WHITE's scenario: 30 
[17:30:013] [FINE  ] 1 - score: 30 
[17:30:014] [FINE  ] 1 - Try placing BLACK at: 7,7 
[17:30:022] [FINE  ] WHITE's scenario: 30 
[17:30:022] [FINE  ] 1 - score: 30 
[17:30:023] [FINE  ] 1 - Try placing BLACK at: 4,5 
[17:30:030] [FINE  ] WHITE's scenario: 0 
[17:30:030] [FINE  ] 1 - score: 0 
[17:30:031] [FINE  ] 1 - Try placing BLACK at: 4,6 
[17:30:036] [FINE  ] WHITE's scenario: 0 
[17:30:037] [FINE  ] 1 - score: 0 
[17:30:038] [FINE  ] 1 - Try placing BLACK at: 5,5 
[17:30:047] [FINE  ] WHITE's scenario: 0 
[17:30:048] [FINE  ] 1 - score: 0 
[17:30:049] [FINE  ] 1 - Try placing BLACK at: 7,8 
[17:30:055] [FINE  ] WHITE's scenario: 0 
[17:30:056] [FINE  ] 1 - score: 0 
[17:30:066] [FINE  ] BLACK best move407 and depth is 1 best score is 30(Branch factor:12; Scenarios Evaluated:12) 
[17:30:068] [FINE  ] 2 - score: 30 
[17:30:069] [FINE  ] 2 - Try placing WHITE at: 5,7 
[17:30:072] [FINE  ] 1 - Try placing BLACK at: 5,6 
[17:30:078] [FINE  ] WHITE's scenario: 30 
[17:30:079] [FINE  ] 1 - score: 30 
[17:30:079] [FINE  ] BLACK best move506 and depth is 1 best score is 30(Branch factor:1; Scenarios Evaluated:1) 
[17:30:080] [FINE  ] 2 - score: 30 
[17:30:080] [FINE  ] 2 - Try placing WHITE at: 5,8 
[17:30:084] [FINE  ] 1 - Try placing BLACK at: 4,7 
[17:30:089] [FINE  ] WHITE's scenario: 30 
[17:30:090] [FINE  ] 1 - score: 30 
[17:30:091] [FINE  ] BLACK best move407 and depth is 1 best score is 30(Branch factor:1; Scenarios Evaluated:1) 
[17:30:091] [FINE  ] 2 - score: 30 
[17:30:092] [FINE  ] 2 - Try placing WHITE at: 6,6 
[17:30:095] [FINE  ] 1 - Try placing BLACK at: 5,6 
[17:30:100] [FINE  ] WHITE's scenario: 30 
[17:30:101] [FINE  ] 1 - score: 30 
[17:30:102] [FINE  ] BLACK best move506 and depth is 1 best score is 30(Branch factor:1; Scenarios Evaluated:1) 
[17:30:102] [FINE  ] 2 - score: 30 
[17:30:103] [FINE  ] 2 - Try placing WHITE at: 6,8 
[17:30:105] [FINE  ] 1 - Try placing BLACK at: 5,6 
[17:30:111] [FINE  ] WHITE's scenario: 30 
[17:30:111] [FINE  ] 1 - score: 30 
[17:30:112] [FINE  ] BLACK best move506 and depth is 1 best score is 30(Branch factor:1; Scenarios Evaluated:1) 
[17:30:112] [FINE  ] 2 - score: 30 
[17:30:113] [FINE  ] 2 - Try placing WHITE at: 7,6 
[17:30:115] [FINE  ] 1 - Try placing BLACK at: 5,6 
[17:30:121] [FINE  ] WHITE's scenario: 30 
[17:30:121] [FINE  ] 1 - score: 30 
[17:30:121] [FINE  ] BLACK best move506 and depth is 1 best score is 30(Branch factor:1; Scenarios Evaluated:1) 
[17:30:122] [FINE  ] 2 - score: 30 
[17:30:122] [FINE  ] 2 - Try placing WHITE at: 7,7 
